SKU,HGT1,WID1,DPTH1,product_volume,movement_frequency,movement_category,storage_priority_score,storage_priority,main_storage_location,location_pick_count,recommended_zone,relocation_recommended,recommendation_reason
21-111937,15,10,1,150,212,Medium Movement,0.3409245283018868,Low Priority,N21322,213,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-113616,19,6,6,684,3865,High Movement,0.8096226415094339,High Priority,221623,3856,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-114427,17,6,5,510,820,High Movement,0.6143018867924528,Medium Priority,N222C5,533,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-114420,19,13,2,494,503,Medium Movement,0.5269433962264152,Medium Priority,482123,278,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-121212,19,10,9,1710,867,High Movement,0.754188679245283,Medium Priority,471722,485,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-213653,24,6,6,864,493,Medium Movement,0.5785283018867924,Medium Priority,222522,492,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-213656,24,6,6,864,246,Medium Movement,0.4628301886792452,Medium Priority,222622,246,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-22217,16,1,11,176,191,Medium Movement,0.3276415094339622,Low Priority,N21323,191,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-241672,25,6,6,900,4250,High Movement,0.8495283018867924,High Priority,223922,4241,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-241736,27,7,6,1134,3062,High Movement,0.8553584905660376,High Priority,221022,3052,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-241730,9,9,9,729,147,Low Movement,0.369566037735849,Low Priority,471522,134,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-241741,25,6,6,900,4178,High Movement,0.8484716981132074,High Priority,221922,4178,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-244941,25,6,6,900,4336,High Movement,0.8505849056603773,High Priority,221923,4327,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-244947,25,6,6,900,2301,High Movement,0.8103018867924527,High Priority,222222,2301,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-25999,30,8,7,1680,796,High Movement,0.7384905660377359,Medium Priority,481422,451,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-25905,31,9,7,1953,1061,High Movement,0.7923584905660377,Medium Priority,481423,588,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-262433,26,6,6,936,275,Medium Movement,0.495,Medium Priority,222922,275,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-263978,25,6,6,900,222,Medium Movement,0.455811320754717,Medium Priority,222923,222,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-264430,17,13,2,442,39,Low Movement,0.2012264150943396,Low Priority,483322,39,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-266440,8,25,6,1200,2257,High Movement,0.8458679245283018,High Priority,473322,1147,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-28459,21,8,8,1344,946,High Movement,0.7497735849056604,Medium Priority,481822,501,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-28450,21,9,8,1512,892,High Movement,0.7525849056603773,Medium Priority,481623,616,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-28796,15,22,19,6270,1,Low Movement,0.2897924528301887,Low Priority,481832,1,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-35418,21,7,7,1029,608,Medium Movement,0.6381320754716981,Medium Priority,481022,333,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-38444,21,8,11,1848,342,Medium Movement,0.5906792452830189,Medium Priority,481823,179,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-39147,21,8,8,1344,157,Medium Movement,0.4559056603773584,Medium Priority,481223,104,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-522670,17,3,10,510,26,Low Movement,0.1828113207547169,Low Priority,722522,4,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-523547,24,6,12,1728,3,Low Movement,0.2492264150943396,Low Priority,2120D5,2,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-523509,20,12,6,1440,1341,High Movement,0.8067358490566038,High Priority,223623,1338,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-614607,20,11,6,1320,581,Medium Movement,0.6626981132075471,Medium Priority,472022,330,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-614608,17,3,10,510,754,High Movement,0.5993773584905661,Medium Priority,474222,413,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-614609,17,7,5,595,10,Low Movement,0.1585471698113207,Low Priority,215223,5,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-624678,8,9,3,216,28,Low Movement,0.1436226415094339,Low Priority,2117C5,22,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-631080,16,5,19,1520,242,Medium Movement,0.5283962264150943,Medium Priority,2114A4,147,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-633532,24,6,9,1296,572,Medium Movement,0.6593962264150943,Medium Priority,474223,307,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-633701,4,13,13,676,2482,High Movement,0.7807169811320753,Medium Priority,464323,1246,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-644382,4,9,16,576,1881,High Movement,0.7394716981132075,Medium Priority,481923,984,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-661921,27,7,8,1512,346,Medium Movement,0.5806226415094339,Medium Priority,221522,346,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-662624,24,6,12,1728,47,Low Movement,0.359377358490566,Low Priority,782122,28,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-713803,19,7,4,532,314,Medium Movement,0.4484339622641509,Medium Priority,471623,207,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-714633,13,6,3,234,1732,High Movement,0.6767358490566037,Medium Priority,473323,893,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-714636,12,6,3,216,1522,High Movement,0.6621509433962265,Medium Priority,473422,801,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-715188,19,13,2,494,231,Medium Movement,0.3980377358490566,Low Priority,N222A5,151,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-715194,20,10,5,1000,104,Low Movement,0.3691320754716981,Low Priority,N210A2,86,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-715109,19,3,10,570,5,Low Movement,0.1349056603773585,Low Priority,213532,4,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-715467,19,6,17,1938,88,Low Movement,0.4160566037735849,Medium Priority,781322,64,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-715783,20,4,16,1280,6,Low Movement,0.2369245283018867,Low Priority,2128D2,3,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-715920,24,6,9,1296,511,Medium Movement,0.6394528301886793,Medium Priority,474322,269,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-717398,18,12,1,216,10,Low Movement,0.0983207547169811,Low Priority,481333,5,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-710692,25,6,6,900,869,High Movement,0.6853584905660376,Medium Priority,221822,869,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-722354,18,14,5,1260,8,Low Movement,0.2418490566037736,Low Priority,N21432,8,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-722592,8,25,6,1200,346,Medium Movement,0.557811320754717,Medium Priority,2114A3,201,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-723011,27,10,6,1620,195,Medium Movement,0.5050754716981132,Medium Priority,223522,195,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-724564,19,5,5,475,707,High Movement,0.5835283018867924,Medium Priority,223223,706,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-726162,13,7,6,546,1203,High Movement,0.68188679245283,Medium Priority,473923,680,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-726167,13,4,11,572,1011,High Movement,0.6581698113207547,Medium Priority,473022,600,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-726628,13,10,5,650,61,Low Movement,0.267943396226415,Low Priority,473623,49,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-726055,27,15,8,3240,8,Low Movement,0.2978301886792452,Low Priority,2120D4,8,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-726058,14,8,8,896,635,High Movement,0.6288113207547169,Medium Priority,482923,630,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-726062,14,8,8,896,995,High Movement,0.7046226415094339,Medium Priority,2154A5,691,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-7275281,15,7,7,735,801,High Movement,0.6446037735849056,Medium Priority,472123,425,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-7275291,15,7,7,735,505,Medium Movement,0.5637735849056603,Medium Priority,483723,406,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-7275201,15,7,7,735,402,Medium Movement,0.5187358490566037,Medium Priority,471322,246,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-729761,18,7,4,504,744,High Movement,0.5956792452830189,Medium Priority,471622,435,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-720902,1,1,1,1,1,Low Movement,0.0300943396226415,Low Priority,223632,1,ZONE_C,False,Lower movement priority; can use lower-access storage.
217316507H,24,6,6,864,18,Low Movement,0.2170377358490565,Low Priority,223523,18,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-732269,17,5,5,425,883,High Movement,0.6159622641509434,Medium Priority,463933,455,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-733213,32,12,27,10368,287,Medium Movement,0.6217924528301887,Medium Priority,781523,102,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-733362,24,15,11,3960,59,Low Movement,0.411,Medium Priority,472223,43,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-733363,16,7,7,784,41,Low Movement,0.258566037735849,Low Priority,472322,36,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-734681,19,15,6,1710,1,Low Movement,0.238566037735849,Low Priority,471822,1,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-734682,11,18,2,396,172,Medium Movement,0.3416037735849057,Low Priority,471222,93,ZONE_C,False,Lower movement priority; can use lower-access storage.
21-734716,25,6,6,900,2462,High Movement,0.8167735849056602,High Priority,222122,2460,ZONE_A,True,High movement/space priority; place in an easily accessible zone.
21-735996,28,18,5,2520,772,High Movement,0.7522641509433963,Medium Priority,482522,435,ZONE_B,True,Moderate movement/space priority; place in a standard access zone.
21-735999,7,2,32,448,137,Low Movement,0.317566037735849,Low Priority,482922,137,ZONE_C,False,Lower movement priority; can use lower-access storage.
