SKU,pick_count,total_quantity_picked,movement_frequency
41-966726,198,3026,198
4141722401,93,1320,93
4141722469,98,1446,98
4141722477,18,110,18
4141722485,68,1207,68
4141722493,5,18,5
4141722519,731,9574,731
4141722535,766,9204,766
4141722592,421,7000,421
4141722626,1116,19620,1116
4141722733,468,6335,468
4141722840,444,6017,444
4141722858,655,9095,655
4141722865,642,8847,642
4141722873,462,6915,462
51360,14,180,14
51371,3,36,3
51373,10,104,10
51380,1,12,1
92-004211,405,10174,405
92-268034,165,3955,165
92-51117,662,16853,662
92-52114,1293,39860,1293
92-55115,919,20687,919
92-584882,453,11981,453
99-112015,564,3750,564
99-112015D,4,930,4
99-113113D,1,240,1
99-14528,19,4178,19
99-14528D,1,560,1
99-146028,157,835,157
99-146029,277,1580,277
99-1851163,2098,18777,2098
99-1851164,2264,24718,2264
99-1851165,2231,18146,2231
99-1851166,960,15484,960
99-185116D,4,706,4
99-1852131,1239,10558,1239
99-1852148,1545,9274,1545
99-212839,3,65,3
99-231172D,14,1715,14
99-231176D,3,865,3
99-231177D,8,1710,8
99-231179D,10,633,10
99-32977D,2,1040,2
99-46028D,13,9504,13
99-523684,71,408,71
99-523806,47,6312,47
99-523912,36,4443,36
99-523929,19,3600,19
99-523936,32,6624,32
99-523981,212,2557,212
99-523982,67,970,67
99-537167,453,3167,453
99-575129D,1,656,1
99-6914562,73,378,73
99-6914586,100,610,100
99-818735,1188,9890,1188
99-818735D,2,1080,2
99-818756D,2,6,2
99-852131D,9,1231,9
99-912766,335,3581,335
99-912773,385,2017,385
99-912797,486,1849,486
99-912896,17,77,17
99-914715,192,1721,192
99-914715D,1,60,1
99-915910,69,375,69
99-915927D,1,4,1
99-915934,50,246,50
99-917099,59,4493,59
99-918188,1223,7143,1223
99-918188D,2,6,2
99-918195,83,3813,83
99-921829,1,7,1
9918517167,17,63,17
9918517201,758,3767,758
9918517720,2083,18152,2083
9918517738,1659,12831,1659
9918517754,1765,14074,1765
9918517761,2290,25795,2290
9918517774,612,4539,612
9918521417,407,4047,407
9918521417D,1,768,1
9918521425,339,3217,339
9918521425D,1,768,1
9918521433,194,1918,194
9918522153,252,2907,252
