SKU,UOM1,UOM2,UOM3,HGT1,WID1,DPTH1,product_volume,pick_count,total_quantity_picked,movement_frequency,movement_category,cluster,movement_score,space_requirement_score,storage_priority_score,storage_priority
QH-123579,UN,CJ,PT,5,6,6,180,2198,108696,2198,High Movement,1,0.9133962264150943,0.19283018867924528,0.6972264150943396,Medium Priority
QH-123586,UN,CJ,PT,9,6,5,270,663,19266,663,High Movement,0,0.6760377358490566,0.2318867924528302,0.5427924528301886,Medium Priority
QH-120595,UN,CJ,PT,1,1,1,1,1548,31272,1548,High Movement,1,0.8637735849056604,0.08886792452830189,0.6313018867924528,Medium Priority
QH-120502,UN,CJ,PT,1,1,1,1,708,12851,708,High Movement,0,0.6909433962264151,0.08886792452830189,0.5103207547169811,Medium Priority
QH-120632,UN,CJ,PT,1,1,1,1,1028,23554,1028,High Movement,0,0.7822641509433962,0.08886792452830189,0.5742452830188679,Medium Priority
QH-120656,UN,CJ,PT,1,1,1,1,641,11758,641,High Movement,0,0.6675471698113208,0.08886792452830189,0.4939433962264151,Medium Priority
QH-120669,UN,CJ,PT,1,1,1,1,1867,34873,1867,High Movement,1,0.890188679245283,0.08886792452830189,0.6497924528301886,Medium Priority
QH-120694,UN,CJ,PT,1,1,1,1,372,6720,372,Medium Movement,0,0.5216981132075472,0.08886792452830189,0.3918490566037736,Low Priority
QH-120780,UN,CJ,PT,1,1,1,1,540,12270,540,Medium Movement,0,0.6235849056603774,0.08886792452830189,0.46316981132075474,Medium Priority
QH-120816,UN,CJ,PT,1,1,1,1,2040,42514,2040,High Movement,1,0.9049056603773585,0.08886792452830189,0.6600943396226415,Medium Priority
QH-120823,UN,CJ,PT,1,1,1,1,1009,19461,1009,High Movement,0,0.7762264150943397,0.08886792452830189,0.5700188679245283,Medium Priority
QH-120830,UN,CJ,PT,1,1,1,1,611,9642,611,Medium Movement,0,0.6545283018867925,0.08886792452830189,0.48483018867924527,Medium Priority
QH-120922,UN,CJ,PT,1,1,1,1,3463,84033,3463,High Movement,3,0.9607547169811321,0.08886792452830189,0.699188679245283,Medium Priority
QH-120939,UN,CJ,PT,1,1,1,1,1445,31535,1445,High Movement,1,0.8494339622641509,0.08886792452830189,0.6212641509433962,Medium Priority
QH-120984,UN,CJ,PT,1,1,1,1,1686,33199,1686,High Movement,1,0.8754716981132076,0.08886792452830189,0.6394905660377358,Medium Priority
QH-120991,UN,CJ,PT,1,1,1,1,752,14757,752,High Movement,0,0.7058490566037736,0.08886792452830189,0.5207547169811321,Medium Priority
QH-120014,UN,CJ,PT,1,1,1,1,590,9443,590,Medium Movement,0,0.6454716981132076,0.08886792452830189,0.4784905660377359,Medium Priority
QH-131119,UN,CJ,PT,1,1,1,1,532,9997,532,Medium Movement,0,0.6188679245283019,0.08886792452830189,0.4598679245283019,Medium Priority
QH-131188,UN,CJ,PT,1,1,1,1,1136,23716,1136,High Movement,1,0.8018867924528302,0.08886792452830189,0.5879811320754718,Medium Priority
QH-131195,UN,CJ,PT,1,1,1,1,451,7866,451,Medium Movement,0,0.5733962264150944,0.08886792452830189,0.42803773584905663,Medium Priority
QH-131270,UN,CJ,PT,1,1,1,1,536,9301,536,Medium Movement,0,0.620754716981132,0.08886792452830189,0.461188679245283,Medium Priority
QH-131775,UN,CJ,PT,1,1,1,1,1857,28814,1857,High Movement,1,0.8884905660377358,0.08886792452830189,0.6486037735849056,Medium Priority
QH-131782,UN,CJ,PT,1,1,1,1,672,10328,672,High Movement,0,0.680377358490566,0.08886792452830189,0.5029245283018867,Medium Priority
QH-140484,UN,CJ,PT,20,8,7,1120,137,2724,137,Low Movement,0,0.3177358490566038,0.6275471698113207,0.41067924528301886,Medium Priority
QH-140484D,UN,CJ,PT,19,8,16,2432,33,2982,33,Low Movement,0,0.1362264150943396,0.8418867924528302,0.34792452830188675,Low Priority
QH-151114,UN,CJ,PT,29,7,10,2030,1815,25328,1815,High Movement,1,0.8845283018867924,0.8084905660377358,0.8617169811320754,High Priority
QH-175980,UN,CJ,PT,14,8,4,448,21,177,21,Low Movement,0,0.09471698113207547,0.3171698113207547,0.16145283018867923,Low Priority
QH-107264,UN,CJ,PT,16,8,5,640,406,6044,406,Medium Movement,0,0.5462264150943397,0.41962264150943396,0.508245283018868,Medium Priority
QH-215182,UN,CJ,PT,1,1,1,1,4,26,4,Low Movement,0,0.025283018867924528,0.08886792452830189,0.04435849056603773,Low Priority
QH-217493,UN,CJ,PT,1,1,1,1,372,10832,372,Medium Movement,0,0.5216981132075472,0.08886792452830189,0.3918490566037736,Low Priority
QH-217400,UN,CJ,PT,1,1,1,1,302,8243,302,Medium Movement,0,0.47943396226415097,0.08886792452830189,0.36226415094339626,Low Priority
QH-217516,UN,CJ,PT,1,1,1,1,313,8151,313,Medium Movement,0,0.4871698113207547,0.08886792452830189,0.3676792452830189,Low Priority
QH-217523,UN,CJ,PT,1,1,1,1,272,10063,272,Medium Movement,0,0.45867924528301884,0.08886792452830189,0.34773584905660376,Low Priority
QH-210283,UN,CJ,PT,29,7,10,2030,2589,38850,2589,High Movement,1,0.9350943396226415,0.8084905660377358,0.8971132075471698,High Priority
QH-210207,UN,CJ,PT,1,1,1,1,1128,8520,1128,High Movement,1,0.8007547169811321,0.08886792452830189,0.5871886792452831,Medium Priority
QH-210982,EX,CJ,PT,4,8,28,896,986,5581,986,High Movement,0,0.7709433962264151,0.5454716981132075,0.7033018867924528,Medium Priority
QH-221282,UN,CJ,PT,22,7,4,616,400,4883,400,Medium Movement,0,0.5413207547169812,0.40830188679245283,0.5014150943396226,Medium Priority
QH-221206,UN,CJ,PT,23,6,6,828,392,5220,392,Medium Movement,0,0.5347169811320754,0.5069811320754717,0.5263962264150943,Medium Priority
